user_id,qtd_posts,media_likes,qtd_posts_positivos,qtd_posts_negativos,qtd_posts_neutros,qtd_posts_possui_emoticon,seguidores,seguidos,temperamento
1019.0,9.0,89.77777777777777,8.0,0.0,1.0,3.0,563.0,672.0,",anxious,cyclothymic,depressive,hyperthymic,irritable,worrying"
1020.0,1.0,38.0,1.0,0.0,0.0,0.0,193.0,1180.0,"depressive,hyperthymic"
1021.0,4.0,0.0,4.0,0.0,0.0,0.0,769.0,1407.0,depressive
1022.0,8.0,52.125,7.0,0.0,1.0,8.0,415.0,544.0,depressive
1023.0,3.0,28.666666666666668,2.0,0.0,1.0,1.0,274.0,702.0,depressive
1024.0,22.0,245.3636363636364,17.0,0.0,5.0,3.0,1651.0,1715.0,cyclothymic
1025.0,5.0,116.0,5.0,0.0,0.0,5.0,603.0,712.0,depressive
1027.0,1834.0,62.6041439476554,1587.0,0.0,247.0,549.0,3898.0,7433.0,depressive
1028.0,4.0,83.5,3.0,0.0,1.0,2.0,602.0,289.0,",anxious,cyclothymic,depressive,hyperthymic,irritable,worrying"
1029.0,14.0,555.2142857142857,13.0,0.0,1.0,11.0,1700.0,1037.0,",anxious,cyclothymic,depressive,hyperthymic,irritable,worrying"
1030.0,106.0,412.4528301886792,94.0,0.0,12.0,85.0,2630.0,947.0,depressive
1031.0,15.0,25.0,12.0,0.0,3.0,4.0,183.0,327.0,depressive
1032.0,21.0,101.38095238095238,18.0,0.0,3.0,12.0,1260.0,1645.0,depressive
1034.0,1.0,18.0,1.0,0.0,0.0,0.0,68.0,254.0,depressive
1035.0,3.0,119.33333333333331,1.0,0.0,2.0,3.0,1075.0,621.0,",anxious,cyclothymic,depressive,hyperthymic,irritable,worrying"
1036.0,49.0,191.0612244897959,40.0,0.0,9.0,24.0,1805.0,919.0,",anxious,cyclothymic,depressive,hyperthymic,irritable,worrying"
1037.0,2.0,57.5,2.0,0.0,0.0,1.0,342.0,175.0,irritable
1038.0,13.0,72.38461538461539,10.0,0.0,3.0,10.0,508.0,514.0,depressive
1040.0,59.0,220.4915254237288,55.0,0.0,4.0,59.0,1075.0,1356.0,depressive
