user_id,qtd_posts,media_likes,qtd_posts_positivos,qtd_posts_negativos,qtd_posts_neutros,qtd_posts_possui_emoticon,seguidores,seguidos,proporcao_final_semana,proporcao_meio_semana,proporcao_manha,proporcao_tarde,proporcao_noite,proporcao_madrugada,temperamento
1019,9,89.77777777777777,8,0,1,3,563,672,0.3333,0.6667,0.0,0.0,0.7778,0.2222,acdhiw
1020,1,38.0,1,0,0,0,193,1180,0.0,1.0,0.0,1.0,0.0,0.0,dh
1021,4,0.0,4,0,0,0,769,1407,0.25,0.75,0.0,0.5,0.25,0.25,d
1022,8,52.125,7,0,1,8,415,544,0.125,0.875,0.0,0.0,0.5,0.5,d
1023,3,28.666666666666668,2,0,1,1,274,702,0.3333,0.6667,0.0,0.3333,0.6667,0.0,d
1024,22,245.3636363636364,17,0,5,3,1651,1715,0.1818,0.8182,0.0455,0.4091,0.4091,0.1364,c
1025,5,116.0,5,0,0,5,603,712,0.4,0.6,0.2,0.0,0.8,0.0,d
1027,1834,62.6041439476554,1587,0,247,549,3898,7433,0.2634,0.7366,0.0551,0.2999,0.2759,0.3691,d
1028,4,83.5,3,0,1,2,602,289,0.5,0.5,0.0,0.0,0.25,0.75,acdhiw
1029,14,555.2142857142857,13,0,1,11,1700,1037,0.2143,0.7857,0.0714,0.0,0.2857,0.6429,acdhiw
1030,106,412.4528301886792,94,0,12,85,2630,947,0.2925,0.7075,0.0094,0.0472,0.7736,0.1698,d
1031,15,25.0,12,0,3,4,183,327,0.2667,0.7333,0.2,0.2,0.2,0.4,d
1032,21,101.38095238095238,18,0,3,12,1260,1645,0.4762,0.5238,0.0,0.0952,0.381,0.5238,d
1034,1,18.0,1,0,0,0,68,254,1.0,0.0,0.0,0.0,1.0,0.0,d
1035,3,119.33333333333331,1,0,2,3,1075,621,0.3333,0.6667,0.0,0.0,0.6667,0.3333,acdhiw
1036,49,191.0612244897959,40,0,9,24,1805,919,0.3061,0.6939,0.0204,0.2857,0.5714,0.1224,acdhiw
1037,2,57.5,2,0,0,1,342,175,0.5,0.5,0.0,0.5,0.5,0.0,i
1038,13,72.38461538461539,10,0,3,10,508,514,0.6154,0.3846,0.0769,0.1538,0.6154,0.1538,d
1040,59,220.4915254237288,55,0,4,59,1075,1356,0.4915,0.5085,0.0,0.1525,0.6441,0.2034,d
